Country,City,Total Tons,First Mission,Last Mission,Num Missions,location
FRANCE,BDIS DE LA JUSTICE,162.0,4/20/1944,4/20/1944,3,"BDIS DE LA JUSTICE, France"
FRANCE,BEAU GUILLOT,52.0,6/6/1944,6/6/1944,2,"BEAU GUILLOT, France"
FRANCE,BEAUGENCY,192.0,6/14/1944,7/9/1944,5,"BEAUGENCY, France"
FRANCE,BEAUM0NT SUR OISE,1426.0,4/10/1944,9/9/1943,37,"BEAUM0NT SUR OISE, France"
FRANCE,BEAUMDNT LE ROGER,2840.0,3/23/1944,9/9/1943,113,"BEAUMDNT LE ROGER, France"
FRANCE,BEAUMETZ,615.0,5/24/1944,7/6/1944,15,"BEAUMETZ, France"
FRANCE,BEAUMONT LE HARENG,122.0,2/6/1944,4/23/1944,4,"BEAUMONT LE HARENG, France"
FRANCE,BEAUMONT LE ROGER,467.0,5/11/1944,5/24/1944,4,"BEAUMONT LE ROGER, France"
FRANCE,BEAUMONT SUR OISE,354.0,5/26/1944,8/6/1944,6,"BEAUMONT SUR OISE, France"
FRANCE,BEAUMONTEL,2.0,8/17/1944,8/17/1944,2,"BEAUMONTEL, France"
FRANCE,BEAUTOR,114.0,8/2/1944,8/2/1944,5,"BEAUTOR, France"
FRANCE,BEAUVAIS,3704.0,10/24/1943,9/9/1943,141,"BEAUVAIS, France"
FRANCE,BEAUVOIR,3630.0,1/21/1944,7/2/1944,54,"BEAUVOIR, France"
FRANCE,BEC D AMBES,453.0,8/4/1944,8/4/1944,2,"BEC D AMBES, France"
FRANCE,BEHEN,884.0,3/5/1944,5/28/1944,26,"BEHEN, France"
FRANCE,BEINTQUES,431.0,6/23/1944,6/23/1944,2,"BEINTQUES, France"
FRANCE,BELFORT,753.0,5/11/1944,8/11/1944,17,"BELFORT, France"
FRANCE,BELLE CROIS LES BRUY,93.0,6/24/1944,6/24/1944,3,"BELLE CROIS LES BRUY, France"
FRANCE,BELLE CROIX,90.0,6/23/1944,6/23/1944,6,"BELLE CROIX, France"
FRANCE,BELLEVUE,438.0,4/27/1944,5/8/1944,9,"BELLEVUE, France"
FRANCE,BELLEY,1105.0,12/27/1944,8/3/1944,48,"BELLEY, France"
FRANCE,BELMESNIL,186.0,1/14/1944,1/14/1944,3,"BELMESNIL, France"
FRANCE,BENAT CAP,141.0,8/11/1944,8/11/1944,6,"BENAT CAP, France"
FRANCE,BENERVILLE,1297.0,4/23/1944,6/6/1944,34,"BENERVILLE, France"
FRANCE,BENNECOURT,22.0,5/31/1944,5/31/1944,2,"BENNECOURT, France"
FRANCE,BERCK SUR MER,4480.0,10/28/1940,9/4/1940,135,"BERCK SUR MER, France"
FRANCE,BERGERAC,356.0,3/18/1944,3/5/1944,14,"BERGERAC, France"
FRANCE,BERGUENEUSE,303.0,8/31/1944,8/31/1944,4,"BERGUENEUSE, France"
FRANCE,BERNAY,802.0,3/6/1944,8/2/1944,37,"BERNAY, France"
FRANCE,BERNEVAL LE GRAND,1084.0,3/3/1944,6/24/1944,9,"BERNEVAL LE GRAND, France"
FRANCE,BERTREVILLE,672.0,7/6/1944,8/1/1944,18,"BERTREVILLE, France"
FRANCE,BESIERS,378.0,6/21/1944,7/5/1944,12,"BESIERS, France"
FRANCE,BETHUNE,456.0,11/14/1940,9/26/1941,15,"BETHUNE, France"
FRANCE,BEUVRY,198.0,2/5/1944,8/5/1944,9,"BEUVRY, France"
FRANCE,BIARRITZ,240.0,3/27/1944,3/27/1944,6,"BIARRITZ, France"
FRANCE,BIENNAIS,144.0,6/27/1944,6/27/1944,9,"BIENNAIS, France"
FRANCE,BIENTQUES,74.0,6/23/1944,6/23/1944,2,"BIENTQUES, France"
FRANCE,BITCHE,254.0,10/12/1944,10/12/1944,6,"BITCHE, France"
FRANCE,BLAINVILLE,854.0,4/27/1944,6/28/1944,12,"BLAINVILLE, France"
FRANCE,BLANC MISSERON,314.0,5/1/1944,5/7/1944,16,"BLANC MISSERON, France"
FRANCE,BLANC PIGNON FERME,366.0,7/6/1944,7/6/1944,12,"BLANC PIGNON FERME, France"
FRANCE,BLANDERMONT,393.0,6/20/1944,7/2/1944,24,"BLANDERMONT, France"
FRANCE,BLAYE,485.0,8/14/1940,8/5/1944,5,"BLAYE, France"
FRANCE,BLOIS,418.0,6/11/1944,8/7/1944,9,"BLOIS, France"
FRANCE,BOIR,561.0,6/2/1944,6/2/1944,9,"BOIR, France"
FRANCE,BOIS D ENTER,177.0,5/1/1944,5/1/1944,3,"BOIS D ENTER, France"
FRANCE,BOIS DE COQERAIS,444.0,1/21/1944,4/20/1944,9,"BOIS DE COQERAIS, France"
FRANCE,BOIS DE LA HAIE,207.0,7/17/1944,7/17/1944,3,"BOIS DE LA HAIE, France"
FRANCE,BOIS DE LA HAYE,88.0,8/9/1944,8/9/1944,2,"BOIS DE LA HAYE, France"
FRANCE,BOIS DE LICQUES,3812.0,6/18/1941,8/6/1944,14,"BOIS DE LICQUES, France"
FRANCE,BOIS DES HUITPUES,593.0,1/21/1944,4/20/1944,6,"BOIS DES HUITPUES, France"
FRANCE,BOIS DES JARDINS,221.0,7/15/1944,7/15/1944,2,"BOIS DES JARDINS, France"
FRANCE,BOIS DIEU,72.0,8/28/1944,8/28/1944,2,"BOIS DIEU, France"
FRANCE,BOISSEI LA LONDE,192.0,7/16/1944,7/28/1944,10,"BOISSEI LA LONDE, France"
FRANCE,BOLBEC,108.0,8/26/1944,8/26/1944,6,"BOLBEC, France"
FRANCE,BONNETOT,377.0,6/24/1944,6/24/1944,1,"BONNETOT, France"
FRANCE,BONNEVAL,48.0,7/12/1944,7/12/1944,2,"BONNEVAL, France"
FRANCE,BONNIERES SUR SEINE,2141.0,1/14/1944,5/9/1944,64,"BONNIERES SUR SEINE, France"
FRANCE,BORDE1UX,9.0,10/10/1941,10/10/1941,2,"BORDE1UX, France"
FRANCE,BORDEAUX,6924.0,1/26/1943,9/7/1942,172,"BORDEAUX, France"
FRANCE,BOUCHEMAINE,168.0,7/9/1944,8/1/1944,3,"BOUCHEMAINE, France"
FRANCE,BOULOGNE,4278.0,1/10/1942,9/8/1940,329,"BOULOGNE, France"
FRANCE,BOULOGNE SUR GESSE,9320.0,10/15/1941,9/9/1943,155,"BOULOGNE SUR GESSE, France"
FRANCE,BOURG ST ANDEOL,212.0,8/15/1944,8/17/1944,5,"BOURG ST ANDEOL, France"
FRANCE,BOURGES,2130.0,11/1/1940,8/24/1940,48,"BOURGES, France"
FRANCE,BOURRON,288.0,8/18/1944,8/18/1944,12,"BOURRON, France"
FRANCE,BOURROU,58.0,8/7/1944,8/7/1944,2,"BOURROU, France"
FRANCE,BOURTH,480.0,7/11/1944,8/1/1944,18,"BOURTH, France"
FRANCE,BRANOUX,12.0,8/25/1944,8/25/1944,2,"BRANOUX, France"
FRANCE,BREIL,68.0,9/26/1944,9/26/1944,2,"BREIL, France"
FRANCE,BREMONT,203.0,7/12/1944,7/12/1944,2,"BREMONT, France"
FRANCE,BRENNES,1661.0,6/27/1944,7/5/1944,7,"BRENNES, France"
FRANCE,BREST,25433.0,1/10/1941,9/7/1940,968,"BREST, France"
FRANCE,BRETIGNY,1860.0,5/25/1944,8/8/1944,55,"BRETIGNY, France"
FRANCE,BRETTEVILLE,388.0,6/10/1944,7/7/1944,13,"BRETTEVILLE, France"
FRANCE,BRETTEVILLE SURLAIZ,957.0,8/8/1944,8/8/1944,30,"BRETTEVILLE SURLAIZ, France"
FRANCE,BRIE COMTE ROBERT,17.0,6/22/1944,6/22/1944,1,"BRIE COMTE ROBERT, France"
FRANCE,BRIENNON,96.0,8/10/1944,8/10/1944,3,"BRIENNON, France"
FRANCE,BRIOLLAY,94.0,8/5/1944,8/5/1944,2,"BRIOLLAY, France"
FRANCE,BRIONNE,263.0,7/8/1944,8/17/1944,11,"BRIONNE, France"
FRANCE,BRIOUZE,198.0,6/7/1944,8/12/1944,6,"BRIOUZE, France"
FRANCE,BROGLIE,92.0,8/13/1944,8/13/1944,2,"BROGLIE, France"
FRANCE,BROMBOS,78.0,7/9/1944,7/9/1944,3,"BROMBOS, France"
FRANCE,BRUGES,213.0,5/28/1944,5/28/1944,3,"BRUGES, France"
FRANCE,BRUZ,354.0,5/7/1944,7/19/1944,7,"BRUZ, France"
FRANCE,BRYAS,58.0,8/17/1943,8/17/1943,2,"BRYAS, France"
FRANCE,BUCHY,90.0,1/14/1944,1/14/1944,3,"BUCHY, France"
FRANCE,BUCY LES PIERREPONT,119.0,8/27/1944,8/27/1944,5,"BUCY LES PIERREPONT, France"
FRANCE,BUISSON LE,447.0,7/12/1944,7/27/1944,7,"BUISSON LE, France"
FRANCE,BURGES,124.0,5/28/1944,5/28/1944,2,"BURGES, France"
FRANCE,BUSIGNY,430.0,4/30/1944,5/2/1944,8,"BUSIGNY, France"
FRANCE,CABOURG,2.0,9/11/1941,9/11/1941,1,"CABOURG, France"
FRANCE,CAEN,10706.0,1/21/1943,8/26/1943,210,"CAEN, France"
FRANCE,CALAIS,13272.0,1/16/1941,9/9/1940,305,"CALAIS, France"
FRANCE,CAMARET,54.0,8/14/1944,8/14/1944,3,"CAMARET, France"
FRANCE,CAMBES,57.0,7/6/1944,7/6/1944,3,"CAMBES, France"
FRANCE,CAMBRAI,2989.0,10/27/1940,8/11/1944,90,"CAMBRAI, France"
FRANCE,CAMBREMER,62.0,6/13/1944,6/13/1944,2,"CAMBREMER, France"
FRANCE,CAMIERS,192.0,6/2/1944,6/2/1944,3,"CAMIERS, France"
FRANCE,CAMPAGNE LES HESDIN,528.0,12/24/1943,6/2/1944,11,"CAMPAGNE LES HESDIN, France"
FRANCE,CANNES,481.0,11/11/1943,8/12/1944,12,"CANNES, France"
FRANCE,CAP ANTIBES,20.0,8/14/1944,8/14/1944,2,"CAP ANTIBES, France"
FRANCE,CAP D ALPRECH,375.0,9/8/1943,9/8/1943,5,"CAP D ALPRECH, France"
FRANCE,CAP GRIS NEZ,4183.0,10/1/1940,9/9/1940,74,"CAP GRIS NEZ, France"
FRANCE,CAP NEGRE,72.0,8/12/1944,8/12/1944,3,"CAP NEGRE, France"
FRANCE,CAPE CAMARAT,102.0,8/14/1944,8/14/1944,6,"CAPE CAMARAT, France"
FRANCE,CAPE CEPET,522.0,8/13/1944,8/20/1944,48,"CAPE CEPET, France"
FRANCE,CARBIC,18.0,8/9/1944,8/9/1944,2,"CARBIC, France"
FRANCE,CARENTAN,153.0,6/5/1944,6/6/1944,5,"CARENTAN, France"
FRANCE,CARNEVILLE,36.0,8/17/1944,8/17/1944,2,"CARNEVILLE, France"
FRANCE,CARNOULES,256.0,5/25/1944,5/25/1944,3,"CARNOULES, France"
FRANCE,CAUDEBEC EN CAUX,195.0,8/1/1944,8/10/1944,13,"CAUDEBEC EN CAUX, France"
FRANCE,CAUDEBEC LES ELBEUF,111.0,8/2/1944,8/2/1944,3,"CAUDEBEC LES ELBEUF, France"
FRANCE,CAUMONT,1341.0,7/30/1944,7/30/1944,49,"CAUMONT, France"
FRANCE,CAUVICOURT,2160.0,8/8/1944,8/8/1944,69,"CAUVICOURT, France"
FRANCE,CAVALAIRE,364.0,8/15/1944,8/15/1944,8,"CAVALAIRE, France"
FRANCE,CAYEUX,52.0,1/4/1944,1/4/1944,2,"CAYEUX, France"
FRANCE,CAZAUX,1173.0,3/27/1944,6/19/1944,24,"CAZAUX, France"
FRANCE,CERISY LA SALLE,100.0,6/10/1944,6/10/1944,4,"CERISY LA SALLE, France"
FRANCE,CEZEMBRE,1847.0,8/13/1944,8/31/1944,13,"CEZEMBRE, France"
FRANCE,CHALIGNY,285.0,9/12/1944,9/12/1944,5,"CHALIGNY, France"
FRANCE,CHALONS,768.0,4/27/1944,7/9/1944,8,"CHALONS, France"
FRANCE,CHAMBERY,180.0,5/26/1944,5/26/1944,2,"CHAMBERY, France"
FRANCE,CHAMBLY,621.0,4/20/1944,5/1/1944,4,"CHAMBLY, France"
FRANCE,CHAMBORIGAUD,70.0,8/19/1944,8/19/1944,2,"CHAMBORIGAUD, France"
FRANCE,CHAMPAGNE LES MESDI,82.0,6/21/1944,6/21/1944,4,"CHAMPAGNE LES MESDI, France"
FRANCE,CHAPELINE NOTRE DAME,487.0,7/20/1944,8/8/1944,12,"CHAPELINE NOTRE DAME, France"
FRANCE,CHAPERY,117.0,8/29/1942,8/29/1942,3,"CHAPERY, France"
FRANCE,CHARLEVILLE,116.0,5/7/1944,5/7/1944,2,"CHARLEVILLE, France"
FRANCE,CHARLY SUR MARNE,120.0,8/1/1944,8/1/1944,3,"CHARLY SUR MARNE, France"
FRANCE,CHARNY,75.0,7/17/1944,7/17/1944,3,"CHARNY, France"
FRANCE,CHARTRES,4046.0,1/12/1941,9/4/1940,107,"CHARTRES, France"
FRANCE,CHATEAU BERNAPE,724.0,6/27/1944,8/2/1944,9,"CHATEAU BERNAPE, France"
FRANCE,CHATEAU DE BOSMELLET,52.0,2/15/1944,2/15/1944,2,"CHATEAU DE BOSMELLET, France"
FRANCE,CHATEAU DU LOIR,128.0,8/1/1944,8/1/1944,2,"CHATEAU DU LOIR, France"
FRANCE,CHATEAU THIERRY,54.0,6/16/1944,6/16/1944,1,"CHATEAU THIERRY, France"
FRANCE,CHATEAUBRIANT,291.0,6/7/1944,6/8/1944,7,"CHATEAUBRIANT, France"
FRANCE,CHATEAUDUN,5203.0,1/5/1944,9/15/1943,138,"CHATEAUDUN, France"
FRANCE,CHATEAUROUX,623.0,2/5/1944,8/22/1940,13,"CHATEAUROUX, France"
FRANCE,CHATEL,23.0,8/13/1944,8/13/1944,1,"CHATEL, France"
FRANCE,CHATELLERAULT,465.0,6/15/1944,6/15/1944,2,"CHATELLERAULT, France"
FRANCE,CHAULNES,84.0,7/20/1944,7/20/1944,2,"CHAULNES, France"
FRANCE,CHAUMONT,819.0,5/11/1944,8/2/1944,29,"CHAUMONT, France"
FRANCE,CHAUNY,200.0,12/11/1940,8/9/1944,6,"CHAUNY, France"
FRANCE,CHEMSAY,14.0,7/6/1944,7/6/1944,2,"CHEMSAY, France"
FRANCE,CHERBOURG,1957.0,1/21/1943,9/8/1942,183,"CHERBOURG, France"
FRANCE,CHERISY,414.0,6/12/1944,8/13/1944,8,"CHERISY, France"
FRANCE,CHOCQUES,66.0,6/17/1941,9/22/1942,14,"CHOCQUES, France"
FRANCE,CINQ MARS LAPILE,550.0,6/15/1944,8/2/1944,10,"CINQ MARS LAPILE, France"
FRANCE,CITY TOT UNDER 6 TON,877.0,1/14/1945,8/3/1944,104,"CITY TOT UNDER 6 TON, France"
FRANCE,CLAMECY,87.0,7/17/1944,7/17/1944,3,"CLAMECY, France"
FRANCE,CLASTRES,789.0,6/14/1944,8/8/1944,24,"CLASTRES, France"
FRANCE,CLERES,112.0,1/8/1945,8/1/1944,6,"CLERES, France"
FRANCE,CLERMONT,1497.0,3/10/1944,4/30/1944,28,"CLERMONT, France"
FRANCE,CLOYES,362.0,6/14/1944,7/6/1944,6,"CLOYES, France"
FRANCE,COCOVE,567.0,1/14/1944,4/20/1944,16,"COCOVE, France"
FRANCE,COGNAC,2883.0,12/31/1943,9/16/1943,54,"COGNAC, France"
FRANCE,COLMAR,0.0,9/7/1940,9/7/1940,1,"COLMAR, France"
FRANCE,COLTAINVILLE,116.0,6/17/1944,6/17/1944,2,"COLTAINVILLE, France"
FRANCE,COMBOURG,48.0,7/6/1944,7/6/1944,2,"COMBOURG, France"
FRANCE,COMINES,42.0,3/24/1942,9/22/1942,8,"COMINES, France"
FRANCE,COMPIEGNE,489.0,8/26/1944,8/9/1944,12,"COMPIEGNE, France"
FRANCE,COMTANCES,321.0,6/6/1944,6/6/1944,21,"COMTANCES, France"
FRANCE,COMTESSE,96.0,7/9/1944,7/9/1944,3,"COMTESSE, France"
FRANCE,CONCHES,3835.0,12/25/1941,9/6/1943,135,"CONCHES, France"
FRANCE,CONDE,21.0,7/6/1944,7/6/1944,3,"CONDE, France"
FRANCE,CONDE SUR NOIREAU,1559.0,6/12/1944,6/7/1944,38,"CONDE SUR NOIREAU, France"
FRANCE,CONDE SUR VIRE,115.0,6/30/1944,6/30/1944,16,"CONDE SUR VIRE, France"
FRANCE,CONDRIEU DU NORDE,70.0,6/30/1944,6/30/1944,2,"CONDRIEU DU NORDE, France"
FRANCE,CONFLANS,480.0,5/29/1944,7/18/1944,8,"CONFLANS, France"
FRANCE,CONNANTRE,433.0,8/18/1944,8/18/1944,2,"CONNANTRE, France"
FRANCE,CONNERRE,118.0,8/5/1944,8/5/1944,2,"CONNERRE, France"
FRANCE,CONTEVILLE,177.0,4/20/1944,4/27/1944,6,"CONTEVILLE, France"
FRANCE,COQUEREAUX,971.0,7/25/1944,8/9/1944,12,"COQUEREAUX, France"
FRANCE,CORBEIL,114.0,8/13/1944,8/13/1944,2,"CORBEIL, France"
FRANCE,CORBIE,144.0,8/7/1944,8/7/1944,2,"CORBIE, France"
FRANCE,CORME ECLUSE,684.0,6/19/1944,6/19/1944,24,"CORME ECLUSE, France"
FRANCE,CORMEILLES,913.0,12/8/1940,7/22/1940,35,"CORMEILLES, France"
FRANCE,CORMETTE,714.0,1/14/1944,6/21/1944,21,"CORMETTE, France"
FRANCE,CORNETS,24.0,4/20/1944,4/20/1944,3,"CORNETS, France"
FRANCE,COUBRONNE,500.0,6/23/1944,6/23/1944,2,"COUBRONNE, France"
FRANCE,COUCHES LES MINES,303.0,6/10/1944,6/10/1944,18,"COUCHES LES MINES, France"
FRANCE,COULANGES,253.0,6/25/1944,8/10/1944,9,"COULANGES, France"
FRANCE,COULOMMIERS,405.0,6/14/1944,8/11/1944,12,"COULOMMIERS, France"
FRANCE,COULONVILLIERS,137.0,7/22/1944,8/9/1944,4,"COULONVILLIERS, France"
FRANCE,COURCELLES SUR NIED,380.0,6/4/1944,7/28/1944,8,"COURCELLES SUR NIED, France"
FRANCE,COURCELLES SUR SEIN,74.0,5/31/1944,5/31/1944,2,"COURCELLES SUR SEIN, France"
FRANCE,COURONNE,822.0,6/19/1944,8/5/1944,48,"COURONNE, France"
FRANCE,COURS SAINTS,84.0,6/6/1944,6/6/1944,2,"COURS SAINTS, France"
FRANCE,COURSELLES,426.0,4/10/1944,6/6/1944,12,"COURSELLES, France"
FRANCE,COURTALAIN,165.0,8/2/1944,8/6/1944,4,"COURTALAIN, France"
FRANCE,COURTOIN,22.0,8/8/1944,8/8/1944,1,"COURTOIN, France"
FRANCE,COUTANCES,683.0,6/14/1944,6/6/1944,9,"COUTANCES, France"
FRANCE,COUTANT,90.0,6/10/1944,6/10/1944,2,"COUTANT, France"
FRANCE,COUVRON,648.0,5/9/1944,5/9/1944,12,"COUVRON, France"
FRANCE,CRECY,18.0,2/13/1944,2/13/1944,3,"CRECY, France"
FRANCE,CREIL,4455.0,3/17/1944,8/14/1940,139,"CREIL, France"
FRANCE,CREPIEUL,843.0,6/22/1944,8/5/1944,33,"CREPIEUL, France"
FRANCE,CREPY,1059.0,6/19/1944,7/6/1944,54,"CREPY, France"
FRANCE,CREST,83.0,8/13/1944,8/13/1944,1,"CREST, France"
FRANCE,CRETON,36.0,8/2/1944,8/2/1944,3,"CRETON, France"
FRANCE,CRIQUETOT,23.0,8/13/1944,8/13/1944,1,"CRIQUETOT, France"
FRANCE,CRISBECQ,484.0,4/25/1944,6/10/1944,11,"CRISBECQ, France"
FRANCE,CROISETTE,664.0,1/14/1944,3/18/1944,14,"CROISETTE, France"
FRANCE,CROISILLES,96.0,8/5/1944,8/5/1944,2,"CROISILLES, France"
FRANCE,CROIXDALLE,376.0,7/6/1944,7/6/1944,1,"CROIXDALLE, France"
FRANCE,CULMONT CHALINDREY,724.0,7/12/1944,7/12/1944,3,"CULMONT CHALINDREY, France"
FRANCE,CULOZ,48.0,8/25/1944,8/25/1944,2,"CULOZ, France"
FRANCE,CUSTINES,262.0,9/10/1944,9/10/1944,6,"CUSTINES, France"
FRANCE,CUXHAVEN,1.0,11/13/1940,11/13/1940,1,"CUXHAVEN, France"
FRANCE,DAINVILLE,12.0,7/6/1944,7/6/1944,2,"DAINVILLE, France"
FRANCE,DAMMARTIN ENGOELE,78.0,8/18/1944,8/18/1944,3,"DAMMARTIN ENGOELE, France"
FRANCE,DANNES,710.0,2/5/1944,6/3/1944,20,"DANNES, France"
FRANCE,DDNZERE,70.0,8/15/1944,8/15/1944,1,"DDNZERE, France"
FRANCE,DE TOURNEHEIM,192.0,4/22/1944,4/22/1944,3,"DE TOURNEHEIM, France"
FRANCE,DEMOUVILLE,1479.0,7/18/1944,7/18/1944,24,"DEMOUVILLE, France"
FRANCE,DENAIN,746.0,5/20/1944,7/6/1944,22,"DENAIN, France"
FRANCE,DESVRES,51.0,2/5/1944,6/21/1941,4,"DESVRES, France"
FRANCE,DIEFFLEN,2.0,12/5/1944,12/5/1944,2,"DIEFFLEN, France"
FRANCE,DIEPPE,2362.0,1/14/1944,9/6/1943,73,"DIEPPE, France"
FRANCE,DIEUZE,306.0,11/9/1944,11/9/1944,6,"DIEUZE, France"
FRANCE,DIJON,3725.0,2/6/1944,8/14/1944,55,"DIJON, France"
FRANCE,DINAN,96.0,12/22/1940,9/28/1941,17,"DINAN, France"
FRANCE,DOLE,456.0,8/14/1944,8/14/1944,12,"DOLE, France"
FRANCE,DOMART EN PONTHIEU,302.0,12/16/1943,3/26/1944,7,"DOMART EN PONTHIEU, France"
FRANCE,DOMFRONT,561.0,6/13/1944,7/6/1944,14,"DOMFRONT, France"
FRANCE,DOMLEGER,3720.0,6/14/1944,7/4/1944,33,"DOMLEGER, France"
FRANCE,DONGES,1065.0,7/23/1944,7/24/1944,6,"DONGES, France"
FRANCE,DOUAI,1769.0,10/27/1940,8/11/1944,18,"DOUAI, France"
FRANCE,DOULLENS,1120.0,11/8/1940,8/7/1944,24,"DOULLENS, France"
FRANCE,DOVAL,36.0,6/22/1944,6/22/1944,1,"DOVAL, France"
FRANCE,DREAUX,421.0,6/10/1944,6/10/1944,1,"DREAUX, France"
FRANCE,DREUX,1374.0,10/14/1941,7/4/1944,43,"DREUX, France"
FRANCE,DRIONVILLE,534.0,12/24/1943,4/30/1944,11,"DRIONVILLE, France"
FRANCE,DROMMONT,72.0,8/12/1944,8/12/1944,3,"DROMMONT, France"
FRANCE,DUNKERQUE,2555.0,1/13/1941,9/8/1940,371,"DUNKERQUE, France"
FRANCE,DURTAL,144.0,8/5/1944,8/5/1944,2,"DURTAL, France"
FRANCE,ECALLES SUR BUCHY,390.0,2/28/1944,2/28/1944,6,"ECALLES SUR BUCHY, France"
FRANCE,ECLIMEUX,983.0,1/21/1944,5/1/1944,22,"ECLIMEUX, France"
FRANCE,ECOUCHE,124.0,7/28/1944,7/28/1944,4,"ECOUCHE, France"
FRANCE,ECQUES,561.0,6/19/1944,8/30/1944,30,"ECQUES, France"
FRANCE,EIKENHORST,189.0,9/17/1944,9/17/1944,3,"EIKENHORST, France"
FRANCE,ELBEUF,68.0,8/13/1944,8/13/1944,3,"ELBEUF, France"
FRANCE,EMBRUN,112.0,8/19/1944,8/19/1944,2,"EMBRUN, France"
FRANCE,EMBRY,322.0,1/14/1944,2/5/1944,10,"EMBRY, France"
FRANCE,ENGUINEGATTE,330.0,6/18/1944,7/6/1944,22,"ENGUINEGATTE, France"
FRANCE,EPERLECQUES,92.0,8/30/1943,8/30/1943,4,"EPERLECQUES, France"
FRANCE,EPERNON,502.0,6/12/1944,8/9/1944,12,"EPERNON, France"
FRANCE,EPINAL,257.0,5/11/1944,5/23/1944,6,"EPINAL, France"
FRANCE,EPONE MEZIERS,436.0,8/1/1944,8/9/1944,10,"EPONE MEZIERS, France"
FRANCE,EPREVILLE,342.0,6/2/1944,6/4/1944,9,"EPREVILLE, France"
FRANCE,EQUIHEN,1545.0,6/2/1944,6/4/1944,63,"EQUIHEN, France"
FRANCE,ERNY ST JULIEN,302.0,6/20/1944,6/21/1944,5,"ERNY ST JULIEN, France"
FRANCE,ESCALLES,150.0,2/13/1944,2/15/1944,6,"ESCALLES, France"
FRANCE,ESSEY,591.0,8/18/1944,8/18/1944,12,"ESSEY, France"
FRANCE,ESTERNAY,154.0,6/25/1944,8/14/1944,3,"ESTERNAY, France"
FRANCE,ET NEUVE,152.0,8/2/1944,8/9/1944,5,"ET NEUVE, France"
FRANCE,ETAMPES,2913.0,11/15/1940,8/3/1944,51,"ETAMPES, France"
FRANCE,ETAPLES,2378.0,10/25/1940,8/5/1944,50,"ETAPLES, France"
FRANCE,EU,33.0,7/17/1944,7/17/1944,1,"EU, France"
FRANCE,EURE RIVER,45.0,8/13/1944,8/13/1944,2,"EURE RIVER, France"
FRANCE,EVREUX,4598.0,1/12/1941,9/3/1943,135,"EVREUX, France"
FRANCE,EVRON,16.0,8/2/1944,8/2/1944,2,"EVRON, France"
FRANCE,FALAISE,2218.0,6/10/1944,8/12/1944,57,"FALAISE, France"
FRANCE,FASSEY,63.0,8/8/1944,8/8/1944,3,"FASSEY, France"
FRANCE,FEBVIN PALFART,207.0,3/26/1944,3/26/1944,3,"FEBVIN PALFART, France"
FRANCE,FECAMP,1833.0,11/13/1940,9/30/1941,82,"FECAMP, France"
FRANCE,FERFAY,434.0,7/24/1944,8/28/1944,10,"FERFAY, France"
FRANCE,FERME D UREILIE,1055.0,6/1/1944,6/3/1944,5,"FERME D UREILIE, France"
FRANCE,FERME DU FORESTEL,510.0,7/12/1944,8/28/1944,9,"FERME DU FORESTEL, France"
FRANCE,FERME DU GRAND BOIS,229.0,7/20/1944,8/28/1944,4,"FERME DU GRAND BOIS, France"
FRANCE,FIEFS,1362.0,6/19/1944,8/5/1944,57,"FIEFS, France"
FRANCE,FIENVILLERS,409.0,6/19/1944,6/23/1944,28,"FIENVILLERS, France"
FRANCE,FILERS,427.0,6/9/1944,6/9/1944,1,"FILERS, France"
FRANCE,FISMES,349.0,6/28/1944,8/16/1944,11,"FISMES, France"
FRANCE,FLERS,2711.0,6/14/1944,8/5/1944,59,"FLERS, France"
FRANCE,FLEURY,1200.0,6/19/1944,8/5/1944,54,"FLEURY, France"
FRANCE,FLEURY LA MONTAGNE,501.0,5/22/1944,6/4/1944,21,"FLEURY LA MONTAGNE, France"
FRANCE,FLIXECOURT,149.0,1/21/1944,4/20/1944,5,"FLIXECOURT, France"
FRANCE,FLOTTEMANVILLE,471.0,4/20/1944,4/20/1944,12,"FLOTTEMANVILLE, France"
FRANCE,FLOTTEMANVILLE HAGUE,420.0,4/27/1944,4/27/1944,6,"FLOTTEMANVILLE HAGUE, France"
FRANCE,FOET DU HELLE,8.0,3/1/1944,3/6/1944,4,"FOET DU HELLE, France"
FRANCE,FOLLEVILLE,0.0,7/16/1941,7/16/1941,1,"FOLLEVILLE, France"
FRANCE,FOLLIGNY,134.0,6/7/1944,6/7/1944,2,"FOLLIGNY, France"
FRANCE,FONTAINE BELLENGER,23.0,8/13/1944,8/13/1944,1,"FONTAINE BELLENGER, France"
FRANCE,FONTAINE LE PIN,78.0,7/7/1944,7/7/1944,2,"FONTAINE LE PIN, France"
FRANCE,FONTAN,44.0,8/4/1944,8/4/1944,2,"FONTAN, France"
FRANCE,FOR NATION DE TOUR,180.0,3/2/1944,4/19/1944,6,"FOR NATION DE TOUR, France"
FRANCE,FORET D ANDAINE,1783.0,6/13/1944,8/6/1944,65,"FORET D ANDAINE, France"
FRANCE,FORET D AROUES,144.0,8/31/1944,8/31/1944,6,"FORET D AROUES, France"
FRANCE,FORET D ECOUVES,1251.0,6/15/1944,8/8/1944,34,"FORET D ECOUVES, France"
FRANCE,FORET D ENGLOS,751.0,8/9/1944,8/9/1944,2,"FORET D ENGLOS, France"
FRANCE,FORET D EPERLECQUES,78.0,7/23/1941,8/30/1943,5,"FORET D EPERLECQUES, France"
